,date,realtemp,settemp,PSUmillivolt,PSUmA,inPumpPercent,blotter,roof,fanpercent,outpumppercent,hysteresis
0,07/04/2022 14:44:45,0.00,20.00,7000,0,0,L,O,50,50,1.00
0,07/04/2022 14:44:49,-2.00,20.00,7000,0,25,L,O,50,0,1.00
0,07/04/2022 14:44:51,-2.00,20.00,7000,0,25,L,O,50,0,1.00
0,07/04/2022 14:44:53,-2.00,20.00,7000,0,25,L,O,50,0,1.00
0,07/04/2022 14:44:56,-2.00,20.00,7000,0,25,L,O,50,0,1.00
0,07/04/2022 14:44:59,-2.00,20.00,7000,0,50,L,O,50,0,1.00
0,07/04/2022 14:45:01,-2.00,20.00,7000,0,50,L,O,50,0,1.00
0,07/04/2022 14:45:03,-2.00,20.00,7000,0,50,L,O,50,0,1.00
0,07/04/2022 14:45:05,-2.00,20.00,7000,0,50,L,O,50,0,1.00
0,07/04/2022 14:45:07,-2.00,20.00,7000,0,50,L,O,50,0,1.00
0,07/04/2022 14:45:10,-2.00,20.00,7000,0,50,L,O,50,0,1.00
0,07/04/2022 14:45:13,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,07/04/2022 14:45:15,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,07/04/2022 14:45:18,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,07/04/2022 14:45:20,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,07/04/2022 14:45:23,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,07/04/2022 14:45:25,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,07/04/2022 14:45:27,-2.00,20.00,7000,0,10,L,O,50,0,1.00
0,07/04/2022 14:45:31,-2.00,20.00,7000,0,25,L,O,50,0,1.00
0,07/04/2022 14:45:33,-2.00,20.00,7000,0,25,L,O,50,0,1.00
0,07/04/2022 14:45:35,-2.00,20.00,7000,0,25,L,O,50,0,1.00
0,07/04/2022 14:45:38,-2.00,20.00,7000,0,25,L,O,50,0,1.00
0,07/04/2022 14:45:40,-2.00,20.00,7000,0,25,L,O,50,0,1.00
0,07/04/2022 14:45:43,-2.00,30.00,7000,0,50,L,O,50,0,1.00
0,07/04/2022 14:45:45,-2.00,30.00,7000,0,50,L,O,50,0,1.00
0,07/04/2022 14:45:47,-2.00,30.00,7000,0,50,L,O,50,0,1.00
0,07/04/2022 14:45:50,-2.00,30.00,7000,0,50,L,O,50,0,1.00
0,07/04/2022 14:45:52,-2.00,30.00,7000,0,50,L,O,50,0,1.00
0,07/04/2022 14:45:55,-2.00,30.00,7000,0,50,L,O,50,0,1.00
0,07/04/2022 14:45:57,-2.00,30.00,7000,0,50,L,O,50,0,1.00
0,07/04/2022 14:46:00,-2.00,30.00,7000,0,50,L,O,50,0,1.00
0,07/04/2022 14:46:02,-2.00,30.00,7000,0,50,L,O,50,0,1.00
0,07/04/2022 14:46:04,-2.00,30.00,7000,0,50,L,O,50,0,1.00
0,07/04/2022 14:46:07,-2.00,7.00,7000,0,0,L,O,50,0,1.00
0,07/04/2022 14:46:09,-2.00,7.00,7000,0,0,L,O,50,0,1.00
0,07/04/2022 14:46:11,-2.00,7.00,7000,0,0,L,O,50,0,1.00
0,07/04/2022 14:46:14,-2.00,7.00,7000,0,0,L,O,50,0,1.00
0,07/04/2022 14:46:16,-2.00,7.00,7000,0,0,L,O,50,0,1.00
0,07/04/2022 14:46:18,-2.00,7.00,7000,0,0,L,O,50,0,1.00
0,07/04/2022 14:46:20,-2.00,7.00,7000,0,0,L,O,50,0,1.00
0,07/04/2022 14:46:22,-2.00,7.00,7000,0,0,L,O,50,0,1.00
0,07/04/2022 14:46:25,-2.00,7.00,7000,0,0,L,O,50,0,1.00
