,date,realtemp,settemp,PSUmillivolt,PSUmA,inPumpPercent,blotter,roof,fanpercent,outpumppercent,hysteresis,pickup
0,17/05/2022 12:51:49,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:52:42,21.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:52:44,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:52:46,24.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:52:47,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:52:49,25.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:52:50,25.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:52:52,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:52:53,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:52:55,22.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:52:57,26.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:52:58,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:53:00,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:53:01,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:53:03,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:53:04,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:53:06,22.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:53:08,22.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:53:09,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:53:11,20.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:53:12,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:53:14,24.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:53:15,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:53:17,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:53:19,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:53:20,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:53:22,22.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:53:23,25.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:53:25,25.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:53:26,25.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:53:28,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:53:30,25.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:53:31,25.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:53:33,22.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:53:34,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:53:36,22.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:53:37,19.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:53:39,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:53:40,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:53:42,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:53:44,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:53:45,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:53:47,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:53:48,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:53:50,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:53:51,14.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:53:53,24.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:53:55,22.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:53:56,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:53:58,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:53:59,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:54:01,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:54:02,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:54:04,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:54:06,25.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:54:07,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:54:09,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:54:10,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:54:12,22.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:54:13,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:54:15,21.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:54:17,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:54:18,21.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:54:20,22.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:54:21,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:54:23,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:54:24,24.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:54:26,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:54:27,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:54:29,25.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:54:31,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:54:32,22.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:54:34,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:54:35,25.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:54:37,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:54:38,25.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:54:40,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:54:42,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:54:43,24.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:54:45,21.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:54:46,22.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:54:48,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:54:49,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:54:51,21.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:54:53,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:54:54,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:54:56,22.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:54:57,22.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:54:59,12.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:55:00,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:55:02,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:55:04,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:55:05,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:55:07,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:55:08,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:55:10,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:55:11,28.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:55:13,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:55:15,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:55:16,22.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:55:18,21.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:55:19,25.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:55:21,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:55:22,25.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:55:24,22.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:55:25,22.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:55:27,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:55:29,21.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:55:30,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:55:32,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:55:33,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:55:35,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:55:36,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:55:38,24.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:55:40,26.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:55:41,23.00,20.00,7000,1,0,L,O,50,50,1.00,0
0,17/05/2022 12:55:43,25.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:55:44,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:55:46,25.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:55:47,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:55:49,25.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:55:51,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:55:52,26.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:55:54,23.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,17/05/2022 12:55:55,24.00,20.00,7000,0,0,L,O,50,50,1.00,0
